system_id,system_name,status,expected_hospital_count_total,expected_acute_hospital_count,expected_system_bed_count,expected_physician_count,expected_linked_hospital_rows,expected_linked_acute_rows,actual_hospital_count_total,actual_acute_hospital_count,actual_system_bed_count,actual_physician_count,actual_linked_hospital_rows,actual_linked_acute_rows
HSI00000008,Adena Health System,pass,4,4,298,336,4,4,4,4,298,336,4,4
HSI00000010,AdventHealth,pass,42,41,8809,3580,42,41,42,41,8809,3580,42,41
HSI00000011,Adventist Health,pass,28,25,2976,1658,28,25,28,25,2976,1658,28,25
HSI00000012,Adventist Healthcare,pass,6,4,866,707,6,4,6,4,866,707,6,4
HSI00000018,Alameda Health System,pass,4,3,298,483,4,3,4,3,298,483,4,3
HSI00000019,Albany Medical Center,pass,3,2,890,1383,3,2,3,2,890,1383,3,2
HSI00000025,Allegheny Health Network,pass,11,11,2082,1850,11,11,11,11,2082,1850,11,11
HSI00000026,Allegiance Health Management,pass,13,10,507,83,13,10,13,10,507,83,13,10
HSI00000029,Allina Health,pass,13,12,1759,1808,13,12,13,12,1759,1808,13,12
HSI00000032,Altru Health System,pass,2,1,198,241,2,1,2,1,198,241,2,1
HSI00000034,Anderson Regional Health System,pass,2,2,303,85,2,2,2,2,303,85,2,2
HSI00000036,Ann and Robert H Lurie Childrens Hospital of Chicago,pass,1,1,364,1303,1,1,1,1,364,1303,1,1
HSI00000038,Luminis Health,pass,3,2,579,603,3,2,3,2,579,603,3,2
HSI00000041,Appalachian Regional Healthcare,pass,14,14,713,289,14,14,14,14,713,289,14,14
HSI00000045,Archbold Medical Center,pass,4,4,293,105,4,4,4,4,293,105,4,4
HSI00000046,Ardent Health Services,pass,31,26,2800,917,31,26,31,26,2800,917,31,26
HSI00000048,Jefferson Health,pass,9,7,3181,3811,9,7,9,7,3181,3811,9,7
HSI00000050,Arkansas Childrens Hospital,pass,2,2,350,313,2,2,2,2,350,313,2,2
HSI00000051,Armstrong County Memorial Hospital,pass,1,1,95,67,1,1,1,1,95,67,1,1
HSI00000052,Arnot Health,pass,3,3,206,225,3,3,3,3,206,225,3,3
HSI00000053,Arrowhead Regional Medical Center,pass,1,1,366,379,1,1,1,1,366,379,1,1
