drg_code,service_line
001,Transplant
002,Transplant
003,Transplant
004,Transplant
005,Transplant
006,Transplant
007,Transplant
008,Transplant
009,Transplant
010,Transplant
011,Transplant
012,Transplant
013,Transplant
014,Transplant
015,Transplant
016,Transplant
017,Transplant
020,Neurosciences
021,Neurosciences
022,Neurosciences
023,Neurosciences
024,Neurosciences
025,Neurosciences
026,Neurosciences
027,Neurosciences
028,Neurosciences
029,Neurosciences
030,Neurosciences
031,Neurosciences
032,Neurosciences
033,Neurosciences
034,Neurosciences
035,Neurosciences
036,Neurosciences
037,Neurosciences
038,Neurosciences
039,Neurosciences
040,Neurosciences
041,Neurosciences
042,Neurosciences
052,Neurosciences
053,Neurosciences
054,Neurosciences
055,Neurosciences
056,Neurosciences
057,Neurosciences
058,Neurosciences
059,Neurosciences
060,Neurosciences
061,Neurosciences
062,Neurosciences
063,Neurosciences
064,Neurosciences
065,Neurosciences
066,Neurosciences
067,Neurosciences
068,Neurosciences
069,Neurosciences
070,Neurosciences
071,Neurosciences
072,Neurosciences
073,Neurosciences
074,Neurosciences
077,Neurosciences
078,Neurosciences
079,Neurosciences
080,Neurosciences
081,Neurosciences
082,Neurosciences
083,Neurosciences
084,Neurosciences
085,Neurosciences
086,Neurosciences
087,Neurosciences
088,Neurosciences
089,Neurosciences
090,Neurosciences
091,Neurosciences
092,Neurosciences
093,Neurosciences
094,Neurosciences
095,Neurosciences
096,Neurosciences
097,Neurosciences
098,Neurosciences
099,Neurosciences
100,Neurosciences
101,Neurosciences
102,Neurosciences
103,Neurosciences
113,ENT / Ophthalmology
114,ENT / Ophthalmology
115,ENT / Ophthalmology
116,ENT / Ophthalmology
117,ENT / Ophthalmology
121,ENT / Ophthalmology
122,ENT / Ophthalmology
123,ENT / Ophthalmology
124,ENT / Ophthalmology
125,ENT / Ophthalmology
129,ENT / Ophthalmology
130,ENT / Ophthalmology
131,ENT / Ophthalmology
132,ENT / Ophthalmology
133,ENT / Ophthalmology
134,ENT / Ophthalmology
135,ENT / Ophthalmology
136,ENT / Ophthalmology
137,ENT / Ophthalmology
138,ENT / Ophthalmology
139,ENT / Ophthalmology
146,ENT / Ophthalmology
147,ENT / Ophthalmology
148,ENT / Ophthalmology
149,ENT / Ophthalmology
150,ENT / Ophthalmology
151,ENT / Ophthalmology
152,ENT / Ophthalmology
153,ENT / Ophthalmology
154,ENT / Ophthalmology
155,ENT / Ophthalmology
156,ENT / Ophthalmology
157,ENT / Ophthalmology
158,ENT / Ophthalmology
159,ENT / Ophthalmology
163,Pulmonary / Respiratory
164,Pulmonary / Respiratory
165,Pulmonary / Respiratory
166,Pulmonary / Respiratory
167,Pulmonary / Respiratory
168,Pulmonary / Respiratory
175,Pulmonary / Respiratory
176,Pulmonary / Respiratory
177,Pulmonary / Respiratory
178,Pulmonary / Respiratory
179,Pulmonary / Respiratory
180,Pulmonary / Respiratory
181,Pulmonary / Respiratory
182,Pulmonary / Respiratory
183,Pulmonary / Respiratory
184,Pulmonary / Respiratory
185,Pulmonary / Respiratory
186,Pulmonary / Respiratory
187,Pulmonary / Respiratory
188,Pulmonary / Respiratory
189,Pulmonary / Respiratory
190,Pulmonary / Respiratory
191,Pulmonary / Respiratory
192,Pulmonary / Respiratory
193,Pulmonary / Respiratory
194,Pulmonary / Respiratory
195,Pulmonary / Respiratory
196,Pulmonary / Respiratory
197,Pulmonary / Respiratory
198,Pulmonary / Respiratory
199,Pulmonary / Respiratory
200,Pulmonary / Respiratory
201,Pulmonary / Respiratory
202,Pulmonary / Respiratory
203,Pulmonary / Respiratory
204,Pulmonary / Respiratory
205,Pulmonary / Respiratory
206,Pulmonary / Respiratory
207,Pulmonary / Respiratory
208,Pulmonary / Respiratory
215,Cardiovascular
216,Cardiovascular
217,Cardiovascular
218,Cardiovascular
219,Cardiovascular
220,Cardiovascular
221,Cardiovascular
222,Cardiovascular
223,Cardiovascular
224,Cardiovascular
225,Cardiovascular
226,Cardiovascular
227,Cardiovascular
228,Cardiovascular
229,Cardiovascular
230,Cardiovascular
231,Cardiovascular
232,Cardiovascular
233,Cardiovascular
234,Cardiovascular
235,Cardiovascular
236,Cardiovascular
237,Cardiovascular
238,Cardiovascular
239,Cardiovascular
240,Cardiovascular
241,Cardiovascular
242,Cardiovascular
243,Cardiovascular
244,Cardiovascular
245,Cardiovascular
246,Cardiovascular
247,Cardiovascular
248,Cardiovascular
249,Cardiovascular
250,Cardiovascular
251,Cardiovascular
252,Cardiovascular
253,Cardiovascular
254,Cardiovascular
255,Cardiovascular
256,Cardiovascular
257,Cardiovascular
258,Cardiovascular
259,Cardiovascular
260,Cardiovascular
261,Cardiovascular
262,Cardiovascular
263,Cardiovascular
264,Cardiovascular
265,Cardiovascular
266,Cardiovascular
267,Cardiovascular
268,Cardiovascular
269,Cardiovascular
270,Cardiovascular
271,Cardiovascular
272,Cardiovascular
273,Cardiovascular
274,Cardiovascular
280,Cardiovascular
281,Cardiovascular
282,Cardiovascular
283,Cardiovascular
284,Cardiovascular
285,Cardiovascular
286,Cardiovascular
287,Cardiovascular
288,Cardiovascular
289,Cardiovascular
290,Cardiovascular
291,Cardiovascular
292,Cardiovascular
293,Cardiovascular
294,Cardiovascular
295,Cardiovascular
296,Cardiovascular
297,Cardiovascular
298,Cardiovascular
299,Cardiovascular
300,Cardiovascular
301,Cardiovascular
302,Cardiovascular
303,Cardiovascular
304,Cardiovascular
305,Cardiovascular
306,Cardiovascular
307,Cardiovascular
308,Cardiovascular
309,Cardiovascular
310,Cardiovascular
311,Cardiovascular
312,Cardiovascular
313,Cardiovascular
314,Cardiovascular
