gpo_name,aliases,gpo_type
Vizient,"University HealthSystem Consortium,UHC,Novation,VHA Inc",national
Premier,"Premier Inc,Premier Healthcare Alliance",national
HealthTrust,"HealthTrust Performance Group,HealthTrust Purchasing Group,HPG",national
Intalere,"Amerinet,Intalere LLC",national
ROi,"Resource Optimization & Innovation,Mercy ROi",regional
Yankee Alliance,"Yankee Alliance Inc",regional
GNYHA Services,"Greater New York Hospital Association",regional
Provista,"Provista LLC",national
Conductiv,"Conductiv Inc",specialty
Med Assets,"MedAssets,Vizient (MedAssets)",legacy
